"name" "rpkm" "sample"
"317" "V1.FI14_GL0111182" 53428.7927764272 "162HP"
"57941" "MH0014_GL0016888" 51196.2865626813 "162HP"
"59347" "NLM003_GL0012305" 48581.4224640497 "162HP"
"69047" "MH0014_GL0067771" 54930.9700809316 "162HP"
"71648" "MH0014_GL0026704" 61680.1677700563 "162HP"
"104238" "DLM005_GL0002918" 69642.7327808343 "162HP"
"113340" "ED20A_GL0072825" 81590.4702330768 "162HP"
"137447" "NLM015_GL0010489" 145158.949049209 "162HP"
"1245" "T2D-114A_GL0049957" 8303.71674361444 "160HP"
"3152" "1033813.ECNA114_2452" 734.852125706744 "160HP"
"5149" "754092.SFJ1713_0545" 3635.63148256136 "160HP"
"787" "MH0204_GL0130854" 1163.98445847951 "160HP"
"14138" "MH0014_GL0105798" 6240.67600694894 "160HP"
"15" "MH0204_GL0079131" 642.634254699485 "160HP"
"16" "ED13A_GL0072028" 739.464771454609 "160HP"
"17" "1028307.EAE_09970" 198.907342296562 "160HP"
"1969" "766145.SFVA6_2837" 1347.27940242977 "160HP"
"2143" "MH0204_GL0063669" 1077.08325853588 "160HP"
"25" "NLM027_GL0040481" 206.677160355022 "160HP"
"26" "ED13A_GL0047946" 512.060772191741 "160HP"
"3790" "MH0014_GL0046007" 3654.41626286237 "160HP"
"40103" "932676.SGB_03571" 10706.9107302529 "160HP"
"4137" "MH0014_GL0062780" 314.018442721832 "160HP"
"42" "MH0204_GL0200942" 1185.93516472689 "160HP"
"54100" "MH0014_GL0051197" 9731.22360405597 "160HP"
"55" "MH0204_GL0093217" 404.538313065121 "160HP"
"57" "DLM028_GL0029861" 203.086405649864 "160HP"
"64" "585054.EFER_0708" 380.787010593495 "160HP"
"67" "640131.Kvar_1252" 1264.69115837211 "160HP"
"69" "469595.CSAG_03062" 214.344927071818 "160HP"
"72" "O2.UC38-0_GL0047585" 1945.35958131656 "160HP"
"75100" "MH0257_GL0115220" 8789.66907872548 "160HP"
"7662" "766142.SD15574_2190" 2376.91765755082 "160HP"
"7939" "MH0014_GL0062781" 1064.46178310761 "160HP"
"80" "MH0204_GL0200943" 1008.9097831863 "160HP"
"8744" "550694.ERIG_01040" 265.216786610074 "160HP"
"94105" "550687.ERDG_03360" 12413.1006519018 "160HP"
"99" "O2.UC38-0_GL0028315" 2419.85693114435 "160HP"
"10837" "766147.SFK227_2604" 1943.19144581216 "160HP"
"11451" "656437.ECMG_04072" 5029.14423530553 "160HP"
"11953" "439855.EcSMS35_0058" 2008.89288389181 "160HP"
"12058" "199310.c0067" 3306.83456568035 "160HP"
"125" "585054.EFER_0065" 491.681383158733 "160HP"
"127" "MH0008_GL0031352" 267.645822142392 "160HP"
"128" "O2.UC38-0_GL0072619" 2268.94862392937 "160HP"
"12979" "MH0014_GL0037010" 8556.17206723063 "160HP"
"131" "585054.EFER_3442" 645.51222686226 "160HP"
"13249" "MH0014_GL0094967" 648.8453364674 "160HP"
"13323" "535205.EfmE1071_1379" 233.423616400966 "160HP"
"13418" "MH0277_GL0048659" 862.831990296121 "160HP"
"13851" "MH0095_GL0001155" 4236.6727409256 "160HP"
"163" "MH0008_GL0003015" 1710.34037584428 "160HP"
"16560" "MH0014_GL0078392" 5088.69914156761 "160HP"
"18045" "331111.EcE24377A_0125" 4939.93959688858 "160HP"
"18258" "MH0014_GL0094960" 9603.92017868548 "160HP"
"18314" "469595.CSAG_00237" 834.255359308569 "160HP"
"18751" "340186.EcE110019_0796" 11467.5050740692 "160HP"
"18924" "585054.EFER_0144" 835.642317511908 "160HP"
"19024" "656449.ERFG_03351" 626.211196823189 "160HP"
"19445" "199310.c3239" 5326.40654091419 "160HP"
"19543" "MH0238_GL0094567" 9045.75561158354 "160HP"
"198" "O2.UC38-0_GL0090720" 2025.05051435217 "160HP"
"199" "NLM027_GL0001890" 426.688331055529 "160HP"
"20429" "550694.ERIG_04036" 1949.89210597014 "160HP"
"20514" "656420.ERJG_00824" 739.174785269725 "160HP"
"20653" "MH0014_GL0108310" 10754.1336201102 "160HP"
"20852" "364106.UTI89_C3469" 8342.11543375832 "160HP"
"209" "T2D-45A_GL0147087" 311.038894791716 "160HP"
"21048" "MH0014_GL0094942" 8453.47163517558 "160HP"
"211" "MH0204_GL0126112" 641.666622106485 "160HP"
"21243" "MH0264_GL0103849" 7639.22487331619 "160HP"
"224" "O2.UC38-0_GL0073831" 1556.84600791323 "160HP"
"236" "T2D-51A_GL0156676" 420.618287852228 "160HP"
"23732" "1033813.ECNA114_3664" 1432.96164512815 "160HP"
"23813" "585054.EFER_2976" 548.253549283828 "160HP"
"24235" "199310.c1922" 1917.60783611266 "160HP"
"246" "O2.UC38-0_GL0060093" 955.183632992128 "160HP"
"247" "DLM028_GL0031873" 425.604448758182 "160HP"
"25020" "585054.EFER_2541" 904.026715797505 "160HP"
"25742" "754093.SD1617_2158" 6060.02257987281 "160HP"
"26032" "MH0097_GL0011159" 2337.85513480657 "160HP"
"266" "439855.EcSMS35_0982" 462.409249294768 "160HP"
"26923" "550677.ECEG_01404" 703.975985971167 "160HP"
"27540" "MH0252_GL0013874" 3675.604051067 "160HP"
"27832" "405955.APECO1_1164" 1475.67865893956 "160HP"
"28033" "MH0315_GL0183737" 2198.46644237681 "160HP"
"28140" "585054.EFER_2538" 3415.30617748804 "160HP"
